Item,BIB ID,Title,Author,Call Number,Number of Loans in 2020,Notes,URL in HKPL online catalogue
34,2565676,Lonely Planet Eastern Europe.,,914.7 LON, 400 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:2565676
35,1285558,Hong Kong taxation : law and practice ,"Flux, David",336.2 FLU, 399 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:1285558
36,3519162,Financial reporting.,,658.15 FIN, 398 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3519162
37,3198358,The power of habit : why we do what we do in life and business ,"Duhigg, Charles",137 DUH, 396 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3198358
38,3360941,"Elon Musk : Tesla, SpaceX, and the quest for a fantastic future ","Vance, Ashlee",338.762922 MUS, 384 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3360941
39,3469071,Auditing and assurance in Hong Kong ,"Lau, Peter Tze-yiu",657.64 LAU, 382 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3469071
40,3528809,Contract law in Hong Kong ,"Fisher, Michael",347.4095125 FIS, 379 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3528809
41,3476981,A random walk down Wall Street : the time-tested strategy for successful investing ,"Malkiel, Burton Gordon",332.6 MAL, 378 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3476981
42,3304344,Practical English usage ,"Swan, Michael",428.24 SWA, 377 ,[1],https://webcat.hkpl.gov.hk/lib/item?id=chamo:3304344
43,3481718,The subtle art of not giving a fuck : a counterintuitive approach to living a good life ,"Manson, Mark",158.1 MAN, 377 ,,https://webcat.hkpl.gov.hk/lib/item?id=chamo:3481718
